,Pub.Priv,Year,Ave.Act,Num.33-36,Num.28-32,Num.24-27,Num.19-23,Num.17-18,Num.1-16,Num.NA,Num.Tot,Pct.33-36,Pct.28-32,Pct.24-27,Pct.19-23,Pct.17-18,Pct.1-16,Pct.NA,Pct.Tot
MISSOURI SOUTHERN,Public,2009,21.1112565445026,5,48,144,357,123,87,94,858,0.005827505827506,0.055944055944056,0.167832167832168,0.416083916083916,0.143356643356643,0.101398601398601,0.10955710955711,1
MISSOURI STATE,Public,2009,23.9576480263158,23,471,719,1091,94,34,157,2589,0.008883738895326,0.181923522595597,0.277713402858246,0.421398223252221,0.036307454615682,0.013132483584396,0.060641174198532,1
MISSOURI UNIV. OF SCI. & TECH.,Public,2009,27.6819457436857,79,477,374,134,4,1,39,1108,0.07129963898917,0.430505415162455,0.337545126353791,0.120938628158845,0.003610108303249,0.000902527075812,0.035198555956679,1
MISSOURI WESTERN,Public,2009,19.8083252662149,1,39,157,416,203,217,159,1192,0.000838926174497,0.032718120805369,0.131711409395973,0.348993288590604,0.170302013422819,0.182046979865772,0.133389261744966,1
NORTHWEST,Public,2009,22.2519946808511,2,131,393,759,167,52,63,1567,0.001276324186343,0.083599234205488,0.250797702616465,0.484365028717294,0.106573069559668,0.033184428844927,0.040204211869815,1
SOUTHEAST,Public,2009,22.8087871287129,13,211,417,765,171,39,189,1805,0.007202216066482,0.116897506925208,0.231024930747922,0.42382271468144,0.094736842105263,0.021606648199446,0.104709141274238,1
TRUMAN,Public,2009,27.205995388163,102,496,486,210,7,,41,1342,0.076005961251863,0.369597615499255,0.362146050670641,0.156482861400894,0.00521609538003,0,0.030551415797318,1
UCM,Public,2009,22.0114367405289,4,108,329,725,167,66,105,1504,0.002659574468085,0.071808510638298,0.21875,0.482047872340426,0.111037234042553,0.043882978723404,0.069813829787234,1
UMC,Public,2009,25.5615053360794,152,1406,2153,1553,70,7,248,5589,0.027196278404008,0.251565575237073,0.385220969762033,0.277867239219896,0.012524601896583,0.001252460189658,0.04437287529075,1
UMKC,Public,2009,24.1437699680511,29,212,260,324,78,36,65,1004,0.028884462151395,0.211155378486056,0.258964143426295,0.322709163346614,0.077689243027889,0.035856573705179,0.064741035856574,1
UMSL,Public,2009,22.748427672956,4,60,134,198,63,18,48,525,0.007619047619048,0.114285714285714,0.255238095238095,0.377142857142857,0.12,0.034285714285714,0.091428571428572,1
AVILA,Private,2009,23,1,15,27,55,12,1,7,118,0.008474576271186,0.127118644067797,0.228813559322034,0.466101694915254,0.101694915254237,0.008474576271186,0.059322033898305,1
CENTRAL METHODIST - CLAS,Private,2009,22,0,13,55,145,37,0,10,260,0,0.05,0.211538461538462,0.557692307692308,0.142307692307692,0,0.038461538461539,1
COLLEGE OF THE OZARKS,Private,2009,22,1,13,62,142,13,6,7,244,0.004098360655738,0.05327868852459,0.254098360655738,0.581967213114754,0.05327868852459,0.024590163934426,0.028688524590164,1
COLUMBIA,Private,2009,22.8,13,17,54,61,6,0,23,174,0.074712643678161,0.097701149425287,0.310344827586207,0.350574712643678,0.03448275862069,0,0.132183908045977,1
CULVER-STOCKTON,Private,2009,22,0,6,29,48,10,10,59,162,0,0.037037037037037,0.179012345679012,0.296296296296296,0.061728395061728,0.061728395061728,0.364197530864197,1
DRURY,Private,2009,28,12,90,108,107,11,0,671,999,0.012012012012012,0.09009009009009,0.108108108108108,0.107107107107107,0.011011011011011,0,0.671671671671672,1
EVANGEL,Private,2009,22.79,3,49,94,147,37,14,88,432,0.006944444444444,0.113425925925926,0.217592592592593,0.340277777777778,0.085648148148148,0.032407407407407,0.203703703703704,1
FONTBONNE,Private,2009,23,0,14,44,82,13,5,24,182,0,0.076923076923077,0.241758241758242,0.450549450549451,0.071428571428572,0.027472527472528,0.131868131868132,1
HANNIBAL- LAGRANGE,Private,2009,22.32,0,18,36,75,23,2,31,185,0,0.097297297297297,0.194594594594595,0.405405405405405,0.124324324324324,0.010810810810811,0.167567567567568,1
LINDENWOOD,Private,2009,22.28,4,63,467,486,71,6,308,1405,0.002846975088968,0.044839857651246,0.332384341637011,0.345907473309608,0.050533807829182,0.004270462633452,0.219217081850534,1
MARYVILLE,Private,2009,24,2,52,136,127,12,3,42,374,0.005347593582888,0.13903743315508,0.363636363636364,0.339572192513369,0.032085561497326,0.008021390374332,0.112299465240642,1
MISSOURI BAPTIST,Private,2009,21.71,2,13,38,93,39,0,36,221,0.009049773755656,0.058823529411765,0.171945701357466,0.420814479638009,0.176470588235294,0,0.16289592760181,1
MISSOURI VALLEY,Private,2009,19.42,0,9,30,156,88,67,84,434,0,0.02073732718894,0.069124423963134,0.359447004608295,0.202764976958525,0.154377880184332,0.193548387096774,1
PARK,Private,2009,22.7,0,25,43,71,19,9,38,205,0,0.121951219512195,0.209756097560976,0.346341463414634,0.092682926829268,0.04390243902439,0.185365853658537,1
ROCKHURST,Private,2009,25,8,95,134,145,19,5,13,419,0.01909307875895,0.22673031026253,0.31980906921241,0.346062052505967,0.045346062052506,0.011933174224344,0.031026252983294,1
SAINT LOUIS,Private,2009,27.8,72,605,510,232,21,0,284,1724,0.041763341067285,0.35092807424594,0.295823665893271,0.134570765661253,0.012180974477958,0,0.164733178654292,1
SOUTHWEST BAPTIST,Private,2009,22.95,6,61,146,178,41,29,76,537,0.011173184357542,0.113594040968343,0.271880819366853,0.33147113594041,0.07635009310987,0.054003724394786,0.141527001862197,1
STEPHENS,Private,2009,22,0,19,41,89,24,13,45,231,0,0.082251082251082,0.177489177489178,0.385281385281385,0.103896103896104,0.056277056277056,0.194805194805195,1
WASHINGTON ,Private,2009,32.5,495,411,13,1,0,0,590,1510,0.327814569536424,0.272185430463576,0.008609271523179,0.000662251655629,0,0,0.390728476821192,1
WEBSTER,Private,2009,24,4,93,138,152,38,7,62,494,0.008097165991903,0.188259109311741,0.279352226720648,0.307692307692308,0.076923076923077,0.01417004048583,0.125506072874494,1
WESTMINSTER,Private,2009,24.6,6,68,86,112,18,0,21,311,0.019292604501608,0.218649517684887,0.276527331189711,0.360128617363344,0.057877813504823,0,0.067524115755627,1
WILLIAM JEWELL,Private,2009,25.8,10,87,85,72,11,0,17,282,0.035460992907802,0.308510638297872,0.301418439716312,0.25531914893617,0.039007092198582,0,0.060283687943262,1
